jul/16;;R$ 5.189.82;;11.28%;
ago/16;;R$ 5.189.82;;11.28%;
set/16;;R$ 5.189.82;;11.28%;
out/16;;R$ 5.189.82;;11.28%;
nov/16;;R$ 5.189.82;;11.28%;
dez/16;;R$ 5.189.82;;11.28%;
jan/17;janeiro de 2017;R$ 5.531.31;;6.58%;
fev/17;;R$ 5.531.31;;6.58%;
mar/17;;R$ 5.531.31;;6.58%;
abr/17;;R$ 5.531.31;;6.58%;
mai/17;;R$ 5.531.31;;6.58%;
jun/17;;R$ 5.531.31;;6.58%;
jul/17;;R$ 5.531.31;;6.58%;
ago/17;;R$ 5.531.31;;6.58%;
set/17;;R$ 5.531.31;;6.58%;
out/17;;R$ 5.531.31;;6.58%;
nov/17;;R$ 5.531.31;;6.58%;
dez/17;;R$ 5.531.31;;6.58%;
jan/18;janeiro de 2018;R$ 5.645.80;;2.07%;
fev/18;;R$ 5.645.80;;2.07%;
mar/18;;R$ 5.645.80;;2.07%;
abr/18;;R$ 5.645.80;;2.07%;
mai/18;;R$ 5.645.80;;2.07%;
jun/18;;R$ 5.645.80;;2.07%;
jul/18;;R$ 5.645.80;;2.07%;
ago/18;;R$ 5.645.80;;2.07%;
set/18;;R$ 5.645.80;;2.07%;
out/18;;R$ 5.645.80;;2.07%;
nov/18;;R$ 5.645.80;;2.07%;
dez/18;;R$ 5.645.80;;2.07%;
jan/19;janeiro de 2019;R$ 5.839.45;;3.43%;
fev/19;;R$ 5.839.45;;3.43%;
mar/19;;R$ 5.839.45;;3.43%;
abr/19;;R$ 5.839.45;;3.43%;
mai/19;;R$ 5.839.45;;3.43%;
jun/19;;R$ 5.839.45;;3.43%;
jul/19;;R$ 5.839.45;;3.43%;
ago/19;;R$ 5.839.45;;3.43%;
set/19;;R$ 5.839.45;;3.43%;
out/19;;R$ 5.839.45;;3.43%;
nov/19;;R$ 5.839.45;;3.43%;
dez/19;;R$ 5.839.45;;3.43%;
jan/20;janeiro de 2020;R$ 6.101.06;;4.48%;
fev/20;;R$ 6.101.06;;4.48%;
mar/20;;R$ 6.101.06;;4.48%;
abr/20;;R$ 6.101.06;;4.48%;
mai/20;;R$ 6.101.06;;4.48%;
jun/20;;R$ 6.101.06;;4.48%;
jul/20;;R$ 6.101.06;;4.48%;
ago/20;;R$ 6.101.06;;4.48%;
set/20;;R$ 6.101.06;;4.48%;
out/20;;R$ 6.101.06;;4.48%;
nov/20;;R$ 6.101.06;;4.48%;
dez/20;;R$ 6.101.06;;4.48%;
jan/21;janeiro de 2021;R$ 6.433.57;;5.45%;
fev/21;;R$ 6.433.57;;5.45%;
mar/21;;R$ 6.433.57;;5.45%;
abr/21;;R$ 6.433.57;;5.45%;
mai/21;;R$ 6.433.57;;5.45%;
jun/21;;R$ 6.433.57;;5.45%;
jul/21;;R$ 6.433.57;;5.45%;
ago/21;;R$ 6.433.57;;5.45%;
set/21;;R$ 6.433.57;;5.45%;
out/21;;R$ 6.433.57;;5.45%;
nov/21;;R$ 6.433.57;;5.45%;
dez/21;;R$ 6.433.57;;5.45%;
jan/22;janeiro de 2022;R$ 7.087.22;;10.16%;
fev/22;;R$ 7.087.22;;10.16%;
mar/22;;R$ 7.087.22;;10.16%;
abr/22;;R$ 7.087.22;;10.16%;
mai/22;;R$ 7.087.22;;10.16%;
jun/22;;R$ 7.087.22;;10.16%;
jul/22;;R$ 7.087.22;;10.16%;
ago/22;;R$ 7.087.22;;10.16%;
set/22;;R$ 7.087.22;;10.16%;
out/22;;R$ 7.087.22;;10.16%;
nov/22;;R$ 7.087.22;;10.16%;
dez/22;;R$ 7.087.22;;10.16%;
jan/23;janeiro de 2023;7507,49;;0,06;
fev/23;;7507,49;;0,06;
mar/23;;7507,49;;0,06;
abr/23;;7507,49;;0,06;
mai/23;;7507,49;;0,06;
jun/23;;7507,49;;0,06;
jul/23;;7507,49;;0,06;
ago/23;;7507,49;;0,06;
set/23;;7507,49;;0,06;
out/23;;7507,49;;0,06;
